,SCIAN,MUN,genero,ocupacion,edad_num,edad_cat,sector,escolaridad,informal,municipio
0,19,6,F,independiente,28,"[25, 50)",Servicios,Primaria o Secundaria,1,apodaca
1,4,6,H,independiente,32,"[25, 50)",Construcción,Primaria o Secundaria,1,apodaca
2,5,6,F,trabajador,25,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
3,5,6,F,trabajador,33,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,1,apodaca
4,5,6,F,trabajador,52,"[50, 60)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
5,5,6,H,trabajador,35,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
6,5,6,H,trabajador,34,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
7,7,6,F,independiente,60,"[60, 65)",Comercio,Primaria o Secundaria,1,apodaca
8,5,6,H,trabajador,23,"[18, 25)",Industria manufacturera,Primaria o Secundaria,0,apodaca
9,14,6,F,trabajador,52,"[50, 60)",Servicios,Primaria o Secundaria,0,apodaca
10,4,6,H,trabajador,54,"[50, 60)",Construcción,Primaria o Secundaria,0,apodaca
11,5,6,H,trabajador,36,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,apodaca
12,18,6,H,trabajador,32,"[25, 50)",Servicios,Primaria o Secundaria,0,apodaca
13,5,6,H,trabajador,48,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
14,7,6,H,trabajador,32,"[25, 50)",Comercio,Carrera técnica o preparatoria,0,apodaca
15,4,6,H,trabajador,30,"[25, 50)",Construcción,Licenciatura,0,apodaca
16,8,6,H,trabajador,35,"[25, 50)",Transporte y comunicaciones,Carrera técnica o preparatoria,0,apodaca
17,15,6,F,trabajador,58,"[50, 60)",Servicios,Licenciatura,0,apodaca
18,15,6,H,trabajador,55,"[50, 60)",Servicios,Licenciatura,0,apodaca
19,6,6,F,independiente,51,"[50, 60)",Comercio,Primaria o Secundaria,1,apodaca
20,15,6,F,trabajador,25,"[25, 50)",Servicios,Licenciatura,1,apodaca
21,20,26,H,trabajador,45,"[25, 50)",Gobierno,Licenciatura,0,guadalupe
22,16,26,F,trabajador,47,"[25, 50)",Servicios,Licenciatura,0,guadalupe
23,4,26,H,trabajador,41,"[25, 50)",Construcción,Carrera técnica o preparatoria,0,guadalupe
24,16,26,H,trabajador,68,"[65, 131)",Servicios,Licenciatura,0,guadalupe
25,16,26,F,trabajador,62,"[60, 65)",Servicios,Licenciatura,0,guadalupe
